input_smile,is_patented,patent_cid,similar_smile_patent
Cc1ccc(C(C)C)c(O)c1,True,6989.0,CC1=CC(=C(C=C1)C(C)C)O
CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,True,16119814.0,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC=C(C=C4)O)O)O)C(CCN)O)O)NCCN)O
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,True,93365.0,CC1CN(CC(O1)C)CC(C)CC2=CC=C(C=C2)C(C)(C)C
OB(O)O,True,7628.0,B(O)(O)O
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,True,5280794.0,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
OCCOc1ccc(Cl)cc1,True,7697.0,C1=CC(=CC=C1OCC(CO)O)Cl
O=C(O)c1ccccc1O,True,338.0,C1=CC=C(C(=C1)C(=O)O)O
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,True,1985.0,CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O
CCCCCCCCOc1ccc(C(=O)N[C@H]2C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC2=O)cc1,True,6918120.0,CCCCCCCCOC1=CC=C(C=C1)C(=O)NC2CC(C(NC(=O)C3C(C(CN3C(=O)C(NC(=O)C(NC(=O)C4CC(CN4C(=O)C(NC2=O)C(C)O)O)C(C(C5=CC=C(C=C5)O)O)O)C(C)O)C)O)O)O
CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1,True,5457.0,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2
