input_smile,is_patented,patent_cid,similar_smile_patent
c1ccc(OCCCn2c3c(c4ccccc42)CNCC3)cc1,True,22980542.0,C1CN(CC2=C1NC3=CC=CC=C23)CCCOC4=CC=CC=C4
c1ccc(C(Cc2cn(-c3ccccc3)nn2)Cn2cncn2)cc1,True,176237985.0,C1=CC=C(C=C1)C(CN2C=C(N=N2)CN3C=NC=N3)C4=CC=CC=C4
O=C(CNC(=O)c1nn(-c2ccccc2)c(=O)c2ccccc12)NCCC1=CCCCC1,False,,
O=C(c1ccccc1)c1cccc(=O)cc1,True,7410.0,CC(=O)C1=CC=CC=C1
c1ccc(C2(Cn3cncn3)COC(c3cc4ccccc4s3)=N2)cc1,True,155672434.0,C1C(N=C(O1)C2=CC3=CC=CC=C3S2)(CN4C=NC=N4)C5=CC=CC=C5
O=c1n(CC(Cn2cncn2)c2ccccc2)ncc2cc(-c3ccccc3)cn12,True,126558472.0,CC(C(CN1C=NC=N1)C2=C(C=C(C=C2)F)F)N3C(=O)N4C=C(C=C4C=N3)C5=CC=CC=C5
O=C1c2ccsc2-c2nccc3ccnc1c23,True,72715062.0,C1=CN=C2C3=C1C=CN=C3C(=O)C4=C2SC=C4
c1ccc(-c2ccc(C3=NC(Cn4cncn4)(c4ccccc4)CO3)cc2)cc1,True,155672478.0,C1C(N=C(O1)C2=CC=C(C=C2)C3=CC=CC=C3F)(CN4C=NC=N4)C5=CC=C(C=C5)F
O=C(c1cccc(=O)cc1)c1cccs1,True,27722114.0,C=CCC(=O)C1=CC=CS1
O=C1C[C@H]2CC[C@@H](CCOC(=O)C[C@@H]3CC[C@H](CCO1)O3)O2,False,,
c1ccc(C[Se]C(Cn2ccnc2)c2ccccc2)cc1,True,10682926.0,C1=CC=C(C=C1)C(CCN2C=CN=C2)C3=CC=CC=C3
O=C1CN=C(c2ccccc2)c2ccccc2N1CCCn1nnc(-c2ccccc2)n1,False,,
c1ccc(C[Se]C(Cn2ccnc2)c2ccccc2)cc1,True,10682926.0,C1=CC=C(C=C1)C(CCN2C=CN=C2)C3=CC=CC=C3
c1ccc(C[Se]C(Cn2ccnc2)c2ccccc2)cc1,True,10682926.0,C1=CC=C(C=C1)C(CCN2C=CN=C2)C3=CC=CC=C3
O=C1c2ccccc2C(=O)c2cc3c(cc21)C[C@@H](O[C@H]1C[C@@H](O[C@H]2CCCCO2)CCO1)c1ccccc1-3,False,,
c1ccc(C[Se]C(Cn2ccnc2)c2ccccc2)cc1,True,10682926.0,C1=CC=C(C=C1)C(CCN2C=CN=C2)C3=CC=CC=C3
O=C1CN=C(c2ccccc2)c2ccccc2N1CCCn1nnc(-c2ccccc2)n1,False,,
c1ccc(C(Cn2ccnc2)[Se][Se]C(Cn2ccnc2)c2ccccc2)cc1,True,87080800.0,C1=CC=C(C=C1)CCCN2C=CN=C2.C1=CC=C(C=C1)CCCN2C=CN=C2.[Ni](I)I
O=C(OC(COc1ccccc1)Cn1ccnc1)c1ccccc1,True,2827372.0,COC1=CC=C(C=C1)C(=O)OC(CN2C=CN=C2)COC3=CC=CC=C3
c1ccc(COc2ccc(C[C@H]3CN[C@@H](Cc4ccccc4)CN3)cc2)cc1,False,,
O=c1ccc2ccc(COC(Cn3ccnc3)c3ccccc3)cc2o1,False,,
,False,,
c1ccc(C[Se]C(Cn2ccnc2)c2ccccc2)cc1,True,10682926.0,C1=CC=C(C=C1)C(CCN2C=CN=C2)C3=CC=CC=C3
c1ccc(-c2ncc(-c3nnco3)s2)cc1,False,,
c1ccc(C[Se]C(Cn2ccnc2)c2ccccc2)cc1,True,10682926.0,C1=CC=C(C=C1)C(CCN2C=CN=C2)C3=CC=CC=C3
c1ccc(C(Cn2ccnc2)[Se]C(Cn2ccnc2)c2ccccc2)cc1,True,87080800.0,C1=CC=C(C=C1)CCCN2C=CN=C2.C1=CC=C(C=C1)CCCN2C=CN=C2.[Ni](I)I
c1ccc(COC(COc2ccccc2)Cn2ccnc2)cc1,True,803224.0,C1=CC=C(C=C1)COC2=CC=C(C=C2)OCCN3C=CN=C3
c1ccc(C[Se]C(Cn2ccnc2)c2ccccc2)cc1,True,10682926.0,C1=CC=C(C=C1)C(CCN2C=CN=C2)C3=CC=CC=C3
O=S(=O)(c1ccccc1)N(CCOc1ccc(N2CCNCC2)cc1)CC(Cn1cncn1)c1ccccc1,False,,
c1ccc(C(CSc2nc3ccccc3[nH]2)Cn2cncn2)cc1,False,,
c1ccc(C[Se]C(Cn2ccnc2)c2ccccc2)cc1,True,10682926.0,C1=CC=C(C=C1)C(CCN2C=CN=C2)C3=CC=CC=C3
c1ccc(C(Cn2ccnc2)[Se][Se]C(Cn2ccnc2)c2ccccc2)cc1,True,87080800.0,C1=CC=C(C=C1)CCCN2C=CN=C2.C1=CC=C(C=C1)CCCN2C=CN=C2.[Ni](I)I
O=C(c1ccccc1)c1ccc2nc(SCC(Cn3cncn3)c3ccccc3)[nH]c2c1,False,,
O=C(/C=C/C(=O)N1CCC2(CC1)OC(=O)Nc1ccccc12)Nc1ccccc1,True,13050659.0,C1CN(CCC12C3=CC=CC=C3NC(=O)O2)CCC4=CC=CC=C4
O=c1cc[nH]n1C(=S)Nc1ccc2c(c1)CCC2,False,,
c1cc2cc(OCc3ccc(C4CCCCC4)cc3)ccc2[nH]1,True,89576.0,C1=CC=C(C=C1)COC2=CC3=C(C=C2)NC=C3CCN
c1ccc(C(Cn2ccnc2)[Se][Se]C(Cn2ccnc2)c2ccccc2)cc1,True,87080800.0,C1=CC=C(C=C1)CCCN2C=CN=C2.C1=CC=C(C=C1)CCCN2C=CN=C2.[Ni](I)I
O=C(Nc1ccccc1)c1cn[nH]c1,True,21184506.0,C1=CC=C(C=C1)NC(=O)C2=CNN=C2
c1ccc(CSc2nnc(-c3ccc(CNc4ccncn4)cc3)o2)cc1,False,,
